ligand_pose	gauss1	gauss2	repulsion	hydrophobic	non_dir_h_bond	num_tors_div
ligand_pose_76	-1.5606	-3.8165	6.7205	-0.5042	-0.398	0.0
ligand_pose_77	-1.941	-3.9769	7.4548	-0.794	-0.8032	0.0
ligand_pose_78	-1.76	-3.735	8.1139	-0.6433	-1.4885	0.0
ligand_pose_79	-1.7474	-3.567	5.0859	-0.5903	-1.2131	0.0
ligand_pose_80	-1.6398	-3.7508	6.5697	-0.6509	-1.2933	0.0
ligand_pose_81	-1.574	-3.6086	3.9718	-0.5986	-1.0516	0.0
ligand_pose_82	-1.5044	-3.7974	7.7792	-0.5042	-0.7485	0.0
ligand_pose_83	-1.743	-3.752	7.0505	-0.6077	-0.7459	0.0
ligand_pose_84	-1.5631	-3.7904	2.1354	-0.6524	-0.0439	0.0
ligand_pose_85	-1.472	-3.6281	1.4499	-0.5997	-0.0	0.0
ligand_pose_86	-1.759	-3.7647	10.5387	-0.5252	-0.9848	0.0
ligand_pose_87	-1.9086	-4.0095	8.4161	-0.6588	-1.3317	0.0
ligand_pose_88	-1.7417	-3.9014	8.8964	-0.675	-1.4863	0.0
ligand_pose_89	-1.606	-3.6864	9.4374	-0.6374	-1.9611	0.0
ligand_pose_90	-1.5651	-3.497	5.6652	-0.5824	-1.6521	0.0
ligand_pose_91	-2.0603	-3.958	11.4501	-0.8354	-0.7778	0.0
ligand_pose_92	-1.9271	-3.9564	6.6436	-0.8328	-0.1352	0.0
ligand_pose_93	-1.9331	-3.969	6.9055	-0.9193	-0.0	0.0
ligand_pose_94	-1.733	-3.7314	8.2403	-0.5374	-0.8747	0.0
ligand_pose_95	-1.8603	-3.8424	5.611	-0.6464	-0.83	0.0
ligand_pose_96	-1.8263	-3.6944	8.7917	-0.5836	-0.7429	0.0
ligand_pose_97	-1.503	-3.5558	3.0007	-0.6178	-0.0	0.0
ligand_pose_98	-1.7298	-3.7144	2.8423	-0.6291	-0.6314	0.0
ligand_pose_99	-1.6595	-3.5475	1.9481	-0.6023	-0.4718	0.0
ligand_pose_100	-1.9639	-3.8944	7.1469	-0.7624	-1.1444	0.0
ligand_pose_101	-1.8695	-3.9769	8.1918	-0.6549	-1.2496	0.0
ligand_pose_102	-1.7299	-3.8867	8.8684	-0.6708	-1.6023	0.0
ligand_pose_103	-1.5614	-3.6827	9.5368	-0.6342	-2.0891	0.0
ligand_pose_104	-1.5334	-3.4958	5.7783	-0.5786	-1.7153	0.0
ligand_pose_105	-1.7149	-3.4674	9.0023	-0.6178	-2.3033	0.0
ligand_pose_106	-1.8855	-3.9327	9.0411	-0.7356	-1.4117	0.0
ligand_pose_107	-1.9468	-3.8335	7.1177	-0.7097	-2.2008	0.0
ligand_pose_108	-1.9987	-3.768	9.8401	-0.647	-2.4302	0.0
ligand_pose_109	-1.8773	-3.5824	5.8379	-0.6271	-1.8448	0.0
ligand_pose_110	-1.7748	-3.437	3.9627	-0.5968	-1.532	0.0
ligand_pose_111	-1.4309	-3.7735	6.9805	-0.3305	-0.2839	0.0
ligand_pose_112	-1.5787	-3.8677	5.51	-0.6706	-0.6762	0.0
ligand_pose_113	-1.498	-3.7857	2.8438	-0.6524	-0.3345	0.0
ligand_pose_114	-1.4758	-3.6328	1.9067	-0.5996	-0.0541	0.0
ligand_pose_115	-1.4766	-3.7392	5.145	-0.3915	-0.2559	0.0
ligand_pose_116	-2.0074	-3.6969	7.1849	-0.6309	-1.8857	0.0
ligand_pose_117	-1.8102	-3.5408	7.1705	-0.6178	-1.264	0.0
ligand_pose_118	-2.0351	-3.5567	4.4092	-0.6029	-1.5813	0.0
ligand_pose_119	-1.5951	-3.6305	4.8007	-0.6324	-0.0	0.0
ligand_pose_120	-1.7439	-3.876	3.3999	-0.8134	-0.0	0.0
ligand_pose_121	-1.3931	-3.7634	8.1412	-0.3305	-0.7924	0.0
ligand_pose_122	-1.9557	-3.9817	6.5909	-0.8328	-0.1352	0.0
ligand_pose_123	-1.7494	-3.7465	8.253	-0.6455	-1.4194	0.0
ligand_pose_124	-1.7478	-3.5832	5.234	-0.593	-1.1646	0.0
ligand_pose_125	-2.1539	-3.9026	6.5712	-0.7427	-0.72	0.0
ligand_pose_126	-1.8885	-3.8877	1.9823	-0.8118	-0.0	0.0
ligand_pose_127	-1.9053	-3.8769	2.499	-0.7395	-0.1519	0.0
ligand_pose_128	-1.8054	-3.8879	2.9294	-0.8133	-0.0	0.0
ligand_pose_129	-1.5812	-3.7461	7.085	-0.4	-0.7222	0.0
ligand_pose_130	-1.6031	-3.7808	5.8571	-0.5238	-0.4175	0.0
ligand_pose_131	-1.4758	-3.7375	6.8781	-0.3924	-0.5526	0.0
ligand_pose_132	-2.1958	-3.9453	7.1675	-0.9111	-0.5874	0.0
ligand_pose_133	-1.3647	-3.8045	5.0779	-0.5055	-0.3786	0.0
ligand_pose_134	-2.1846	-4.0221	4.3852	-0.7872	-0.2599	0.0
ligand_pose_135	-2.1125	-3.9695	2.5848	-0.7842	-0.4832	0.0
ligand_pose_136	-1.8048	-3.9124	1.5558	-0.7201	-0.0	0.0
ligand_pose_137	-1.8946	-3.9292	4.3603	-0.9087	-0.0	0.0
ligand_pose_138	-1.7798	-3.9105	5.694	-0.8297	-0.1135	0.0
ligand_pose_139	-1.9235	-3.9257	4.9131	-0.9237	-0.0	0.0
ligand_pose_140	-2.1728	-3.9851	2.6164	-0.7842	-0.2616	0.0
ligand_pose_141	-1.8855	-3.9278	1.0844	-0.7201	-0.0	0.0
ligand_pose_142	-1.4569	-3.6602	7.4119	-0.4779	-0.0	0.0
ligand_pose_143	-1.846	-3.9274	5.3839	-0.8293	-0.1135	0.0
ligand_pose_144	-1.9646	-3.9375	4.142	-0.9087	-0.0	0.0
ligand_pose_145	-1.982	-3.9162	4.8808	-0.9247	-0.0	0.0
ligand_pose_146	-1.3087	-3.9209	3.6093	-0.7356	-0.0	0.0
ligand_pose_147	-1.4681	-3.8093	2.554	-0.68	-0.0	0.0
ligand_pose_148	-1.4634	-3.881	3.83	-0.6958	-0.0	0.0
ligand_pose_149	-1.4662	-3.8111	2.5633	-0.6719	-0.0	0.0
ligand_pose_150	-1.6103	-3.7113	3.1995	-0.5952	-0.0	0.0
ligand_pose_151	-1.4932	-3.9313	4.3012	-0.6992	-0.4545	0.0
ligand_pose_152	-1.6697	-3.813	2.5672	-0.6441	-0.1057	0.0
ligand_pose_153	-1.7201	-3.6906	3.384	-0.5792	-0.0	0.0
ligand_pose_154	-1.6339	-3.6496	8.4026	-0.4905	-0.0	0.0
ligand_pose_155	-1.3478	-3.6873	1.4547	-0.6436	-0.0	0.0
ligand_pose_156	-1.25	-3.6651	1.772	-0.6271	-0.0	0.0
ligand_pose_157	-1.4609	-3.6689	1.4601	-0.627	-0.2845	0.0
ligand_pose_158	-1.2212	-3.5587	1.5702	-0.6178	-0.0	0.0
ligand_pose_159	-1.3082	-3.5419	1.4252	-0.5991	-0.4057	0.0
ligand_pose_160	-1.7007	-3.9791	7.3238	-0.6459	-1.0091	0.0
ligand_pose_161	-1.5033	-3.888	7.2421	-0.6615	-1.5113	0.0
ligand_pose_162	-1.414	-3.4988	4.7523	-0.5693	-1.1147	0.0
ligand_pose_163	-2.0236	-3.9781	6.8696	-0.8328	-0.1731	0.0
ligand_pose_164	-1.8513	-3.918	5.5535	-0.9237	-0.0	0.0
ligand_pose_165	-1.7823	-3.9009	6.1107	-0.8297	-0.1094	0.0
ligand_pose_166	-1.9355	-3.9074	2.3388	-0.7395	-0.1519	0.0
ligand_pose_167	-1.9368	-3.8989	1.9932	-0.8118	-0.0	0.0
ligand_pose_168	-1.861	-3.8862	3.6447	-0.8133	-0.0	0.0
ligand_pose_169	-1.9183	-3.7935	5.203	-0.8011	-0.0	0.0
ligand_pose_170	-1.8546	-3.9911	2.2725	-0.794	-0.0	0.0
ligand_pose_171	-1.6478	-3.75	3.9577	-0.6065	-0.0504	0.0
ligand_pose_172	-1.3101	-3.7766	1.7232	-0.6505	-0.0	0.0
ligand_pose_173	-1.2144	-3.6644	1.3927	-0.5978	-0.0	0.0
ligand_pose_174	-1.6734	-3.9917	1.174	-0.7904	-0.0	0.0
ligand_pose_175	-1.4283	-3.8824	4.785	-0.6959	-0.0	0.0
ligand_pose_176	-1.7645	-3.83	2.8505	-0.6442	-0.1057	0.0
ligand_pose_177	-1.7448	-3.7121	3.8561	-0.579	-0.0815	0.0
ligand_pose_178	-1.2379	-3.6567	2.5682	-0.6271	-0.0	0.0
ligand_pose_179	-1.3634	-3.6805	2.355	-0.6436	-0.0	0.0
ligand_pose_180	-1.526	-3.6886	1.6005	-0.6269	-0.2845	0.0
ligand_pose_181	-1.238	-3.556	2.0153	-0.6178	-0.0	0.0
ligand_pose_182	-1.38	-3.5577	1.4761	-0.5995	-0.4057	0.0
ligand_pose_183	-1.8535	-3.7455	7.4387	-0.5925	-0.4905	0.0
ligand_pose_184	-1.7751	-3.9493	5.8379	-0.7022	-0.4701	0.0
ligand_pose_185	-1.641	-3.71	3.4641	-0.6436	-0.0	0.0
ligand_pose_186	-1.7175	-3.7371	3.4768	-0.6286	-0.5253	0.0
ligand_pose_187	-1.4879	-3.5822	2.4684	-0.6178	-0.0	0.0
ligand_pose_188	-1.5842	-3.5868	2.9461	-0.6019	-0.6778	0.0
ligand_pose_189	-1.6037	-3.9946	1.4904	-0.7904	-0.0	0.0
ligand_pose_190	-1.7475	-3.8576	3.3594	-0.7363	-0.0	0.0
ligand_pose_191	-1.7264	-3.8872	4.1311	-0.7014	-0.0	0.0
ligand_pose_192	-1.38	-3.929	2.7235	-0.7356	-0.0	0.0
ligand_pose_193	-1.5172	-3.7949	1.3451	-0.68	-0.0	0.0
ligand_pose_194	-1.5955	-3.716	2.5385	-0.5925	-0.0	0.0
ligand_pose_195	-1.6499	-3.6613	7.0341	-0.5053	-0.0	0.0
ligand_pose_196	-1.4089	-3.9909	8.1768	-0.7197	-0.5874	0.0
ligand_pose_197	-1.5333	-3.9347	3.3074	-0.6987	-0.4545	0.0
ligand_pose_198	-1.6588	-3.8161	1.6954	-0.6441	-0.1057	0.0
ligand_pose_199	-1.6289	-3.6909	3.0552	-0.5786	-0.0	0.0
ligand_pose_200	-1.5194	-3.6548	8.7795	-0.4898	-0.1631	0.0
ligand_pose_201	-1.5547	-3.879	3.5977	-0.6956	-0.0	0.0
ligand_pose_202	-1.5461	-3.8089	1.9891	-0.6719	-0.0	0.0
ligand_pose_203	-1.6541	-3.7223	2.2976	-0.5951	-0.0	0.0
ligand_pose_204	-1.8322	-3.5771	5.267	-0.5171	-0.0	0.0
ligand_pose_205	-1.4137	-3.6923	0.8345	-0.6436	-0.0	0.0
ligand_pose_206	-1.4838	-3.6849	1.0067	-0.6265	-0.2845	0.0
ligand_pose_207	-1.3619	-3.6614	1.5499	-0.627	-0.0	0.0
ligand_pose_208	-1.3124	-3.5683	1.4008	-0.6178	-0.0	0.0
ligand_pose_209	-1.3656	-3.5559	1.3064	-0.599	-0.4057	0.0
ligand_pose_210	-2.0837	-3.7585	7.3917	-0.8244	-0.9995	0.0
ligand_pose_211	-1.4402	-3.7826	7.1447	-0.3492	-0.1851	0.0
ligand_pose_212	-1.8478	-3.9255	5.657	-0.8293	-0.1135	0.0
ligand_pose_213	-1.9567	-3.937	4.2707	-0.9087	-0.0	0.0
ligand_pose_214	-1.9315	-3.9203	5.2738	-0.9247	-0.0	0.0
ligand_pose_215	-2.0212	-3.9603	3.7858	-0.7847	-0.6584	0.0
ligand_pose_216	-1.7926	-3.9061	2.5746	-0.7208	-0.0343	0.0
ligand_pose_217	-1.9393	-3.887	5.5504	-0.7568	-0.185	0.0
ligand_pose_218	-2.0598	-3.9996	3.9796	-0.7835	-0.6072	0.0
ligand_pose_219	-1.869	-3.9359	1.6208	-0.7195	-0.0166	0.0
ligand_pose_220	-1.6708	-3.7264	3.8912	-0.6533	-0.0	0.0
ligand_pose_221	-1.6598	-3.6049	5.8697	-0.5834	-0.0	0.0
ligand_pose_222	-1.5057	-3.6107	2.6681	-0.637	-0.0	0.0
ligand_pose_223	-1.6191	-3.9643	7.7401	-0.6932	-0.5874	0.0
ligand_pose_224	-1.6264	-3.7422	6.1407	-0.6509	-1.0667	0.0
ligand_pose_225	-1.5463	-3.6111	3.7921	-0.5985	-0.8752	0.0
ligand_pose_226	-1.4649	-3.7597	4.8044	-0.3816	-0.1113	0.0
ligand_pose_227	-1.5817	-3.8669	10.7842	-0.7356	-2.2519	0.0
ligand_pose_228	-1.5943	-3.4209	7.1047	-0.6178	-1.6549	0.0
ligand_pose_229	-1.7009	-3.9071	7.5426	-0.7373	-1.5181	0.0
ligand_pose_230	-1.8754	-3.7818	4.4351	-0.7065	-1.5304	0.0
ligand_pose_231	-1.8855	-3.6787	5.7653	-0.6438	-1.3666	0.0
ligand_pose_232	-1.686	-3.5469	3.2747	-0.6243	-1.3716	0.0
ligand_pose_233	-1.5773	-3.3992	2.1364	-0.5927	-1.4307	0.0
ligand_pose_234	-1.7364	-3.9904	1.1727	-0.7904	-0.0	0.0
ligand_pose_235	-1.8616	-3.846	5.3456	-0.7719	-1.1749	0.0
ligand_pose_236	-1.5145	-3.9246	9.0462	-0.7378	-1.2223	0.0
ligand_pose_237	-1.5041	-3.4258	4.0336	-0.5944	-0.9161	0.0
ligand_pose_238	-1.8165	-3.8999	6.4812	-0.7577	-0.5235	0.0
ligand_pose_239	-2.2356	-3.9099	6.1089	-0.9057	-0.5874	0.0
ligand_pose_240	-1.6301	-3.9825	1.8516	-0.7908	-0.0	0.0
ligand_pose_241	-1.2892	-3.7604	5.5953	-0.3339	-0.1341	0.0
ligand_pose_242	-2.251	-3.8485	7.2184	-0.8967	-1.3301	0.0
ligand_pose_243	-2.0629	-3.9394	7.8192	-0.7621	-0.5014	0.0
ligand_pose_244	-1.8982	-4.0193	9.1172	-0.6571	-1.2853	0.0
ligand_pose_245	-1.3135	-3.7501	3.1434	-0.5	-0.0	0.0
ligand_pose_246	-1.1828	-3.7215	1.7749	-0.4926	-0.0	0.0
ligand_pose_247	-1.9982	-3.9835	7.2863	-0.8336	-0.2131	0.0
ligand_pose_248	-1.9789	-3.7897	6.0251	-0.8014	-0.0	0.0
ligand_pose_249	-1.937	-4.0355	8.9299	-0.6678	-0.4078	0.0
ligand_pose_250	-1.6465	-3.5908	7.5849	-0.5914	-1.1249	0.0
ligand_pose_251	-1.8097	-3.8757	0.8177	-0.8118	-0.0	0.0
ligand_pose_252	-1.7993	-3.8481	1.5103	-0.7357	-0.13	0.0
ligand_pose_253	-1.755	-3.8332	1.6859	-0.8157	-0.0	0.0
ligand_pose_254	-1.209	-3.7106	1.2284	-0.4926	-0.0	0.0
ligand_pose_255	-1.3461	-3.7319	7.5738	-0.2812	-0.0	0.0
ligand_pose_256	-1.8393	-3.931	5.7623	-0.9246	-0.0	0.0
ligand_pose_257	-1.9131	-3.9374	4.5382	-0.9087	-0.0	0.0
ligand_pose_258	-1.8326	-3.9232	5.7022	-0.8293	-0.1135	0.0
ligand_pose_259	-1.4733	-3.6764	8.2967	-0.4777	-0.0	0.0
ligand_pose_260	-2.0115	-3.8025	6.6452	-0.8011	-0.046	0.0
ligand_pose_261	-1.8701	-3.8623	1.3392	-0.7351	-0.13	0.0
ligand_pose_262	-1.8695	-3.8723	0.7182	-0.8118	-0.0	0.0
ligand_pose_263	-1.8012	-3.8555	1.6649	-0.8162	-0.0	0.0
ligand_pose_264	-1.0846	-3.7461	2.9903	-0.5085	-0.0	0.0
