ligand_pose	Vdw
ligand_pose_207	2795.5067
ligand_pose_208	1749151.6975
ligand_pose_209	36229.6625
ligand_pose_210	1237008.9723
ligand_pose_211	2946297.9077
ligand_pose_212	233819.2451
ligand_pose_213	30021.5854
ligand_pose_214	11437.2855
ligand_pose_215	21133.7021
ligand_pose_216	1321.3503
ligand_pose_217	11274.6674
ligand_pose_218	89186.9637
ligand_pose_219	3298599.2029
ligand_pose_220	3228.1213
ligand_pose_221	429.8595
ligand_pose_222	89142773379.6669
ligand_pose_223	2928529.301
ligand_pose_224	28708.0472
ligand_pose_225	1080.9854
ligand_pose_226	2495475.5297
ligand_pose_227	38690.9805
ligand_pose_228	869.179
ligand_pose_229	590331765.6758
ligand_pose_230	30522.447
ligand_pose_231	8926.8667
ligand_pose_232	81791.2722
ligand_pose_233	53591.2899
ligand_pose_234	290874.373
ligand_pose_235	4414846.2579
ligand_pose_236	2945.7738
ligand_pose_237	28179.8722
ligand_pose_238	13128.6446
ligand_pose_239	213303.3931
ligand_pose_240	870401.1339
ligand_pose_241	33790.2015
ligand_pose_242	473428.6088
ligand_pose_243	43128.7115
ligand_pose_244	642440122.2102
ligand_pose_245	120933258281.7192
ligand_pose_246	432921.9762
ligand_pose_247	18501102.9606
ligand_pose_248	4420227083.7463
ligand_pose_249	97273722.4304
ligand_pose_250	245080.8097
ligand_pose_251	1454962.4852
ligand_pose_252	8867.668
ligand_pose_253	12129746.5031
ligand_pose_254	150432312.7336
ligand_pose_255	3476674.9738
ligand_pose_256	726276.7204
ligand_pose_257	4325737.9552
ligand_pose_258	99920974.2547
ligand_pose_259	6522515.8275
ligand_pose_260	39730.0877
ligand_pose_261	239.1636
ligand_pose_262	39377.2008
ligand_pose_263	8002.7022
ligand_pose_264	745050.8419
ligand_pose_265	13776.326
ligand_pose_266	688.5992
ligand_pose_267	564439545.7549
ligand_pose_268	1722167673.7078
ligand_pose_269	2910.8791
ligand_pose_270	95821.3063
ligand_pose_271	3374061.04
ligand_pose_272	6313384.4114
ligand_pose_273	1051193.1811
ligand_pose_274	21045.9594
ligand_pose_275	403.4723
ligand_pose_276	30613.907
ligand_pose_277	585195.5973
ligand_pose_278	28434.8637
ligand_pose_279	3964.2368
ligand_pose_280	5181.7466
ligand_pose_281	12093.4528
ligand_pose_282	1052326.7644
ligand_pose_283	1681973250.6599
ligand_pose_284	4151.8174
ligand_pose_285	-1.0375
ligand_pose_286	607922199.0598
ligand_pose_287	745075.9356
ligand_pose_288	841.96
ligand_pose_289	3159.5578
ligand_pose_290	77982.2343
ligand_pose_291	3856021.6455
ligand_pose_292	22516171.5808
ligand_pose_293	15911.7907
ligand_pose_294	1272.9059
ligand_pose_295	718096669.1748
ligand_pose_296	1298519.8915
ligand_pose_297	1897.4143
ligand_pose_298	11517.1116
ligand_pose_299	163285.6076
ligand_pose_300	592797.9176
ligand_pose_301	2544271.6126
ligand_pose_302	17923.655
ligand_pose_303	5596.5124
ligand_pose_304	5719953.9324
ligand_pose_305	399033.8885
ligand_pose_306	241044.9475
ligand_pose_307	27454.6472
ligand_pose_308	58315.54
ligand_pose_309	779598.1602
ligand_pose_310	3812081.9427
ligand_pose_311	67713.3049
ligand_pose_312	22855.7084
ligand_pose_313	200440.0477
ligand_pose_314	1566182714.2619
ligand_pose_315	11806.784
ligand_pose_316	18598.021
ligand_pose_317	852139.7385
ligand_pose_318	-100.4044
ligand_pose_319	4419.1332
ligand_pose_320	39134.3951
ligand_pose_321	3034796804.6569
ligand_pose_322	17871.8147
ligand_pose_323	42055.5155
ligand_pose_324	18833.1842
ligand_pose_325	4670.949
ligand_pose_326	15587.0192
ligand_pose_327	10849884151.3582
ligand_pose_328	72296.4682
ligand_pose_329	388519057.8471
ligand_pose_330	5550757.7135
ligand_pose_331	2727.3547
ligand_pose_332	36857.5983
ligand_pose_333	41340.9065
ligand_pose_334	186702.1316
ligand_pose_335	6242.7157
ligand_pose_336	12304.3212
ligand_pose_337	45077.1807
ligand_pose_338	928317.6477
ligand_pose_339	2047.6535
ligand_pose_340	879.5814
ligand_pose_341	348211267.435
ligand_pose_342	37627306511.3119
ligand_pose_343	5330153.7261
ligand_pose_344	2158852166.556
ligand_pose_345	295359922.9008
ligand_pose_346	712121.6727
ligand_pose_347	33577073.344
ligand_pose_348	351668.4619
ligand_pose_349	2730.1765
ligand_pose_350	69754.7198
ligand_pose_351	5464196.3725
ligand_pose_352	1051.4915
ligand_pose_353	1006742617.2147
ligand_pose_354	141993479.2135
ligand_pose_355	286936.6393
ligand_pose_356	1742852.9443
ligand_pose_357	971698918.3052
ligand_pose_358	1102574241.0088
ligand_pose_359	1993924.2073
ligand_pose_360	4289678.5731
ligand_pose_361	26652.6013
ligand_pose_362	243550947.9542
ligand_pose_363	26025.1164
ligand_pose_364	180435113899.5974
ligand_pose_365	5433.6891
ligand_pose_366	842845.6871
ligand_pose_367	1041356.0177
ligand_pose_368	985799.8385
ligand_pose_369	563101.6753
ligand_pose_370	4647030410591.693
ligand_pose_371	-251.5669
ligand_pose_372	4257.9847
ligand_pose_373	99048.737
ligand_pose_374	2603246.4094
ligand_pose_375	669083.4406
ligand_pose_376	636599.201
ligand_pose_377	8588625.0184
ligand_pose_378	61533.4934
ligand_pose_379	8598.5851
ligand_pose_380	23129.003
ligand_pose_381	32721.3885
ligand_pose_382	5767.2557
ligand_pose_383	636647.2199
ligand_pose_384	1539263.833
ligand_pose_385	17111.0443
ligand_pose_386	2863.3864
ligand_pose_387	195061.4792
ligand_pose_388	22996690.8315
ligand_pose_389	320194.4415
ligand_pose_390	234.2033
ligand_pose_391	462945.0492
ligand_pose_392	-795.3744
ligand_pose_393	370.9828
ligand_pose_394	21442.7224
ligand_pose_395	207713.2167
ligand_pose_396	2129557.3456
ligand_pose_397	-646.8637
ligand_pose_398	87488.7042
ligand_pose_399	1608.177
ligand_pose_400	-856.7103
ligand_pose_401	-325.1718
ligand_pose_402	11092.7531
ligand_pose_403	317352.4974
ligand_pose_404	2923805.1596
ligand_pose_405	-337.801
ligand_pose_406	513.9836
ligand_pose_407	-599.5879
ligand_pose_408	17651.3084
ligand_pose_409	32007883.3083
ligand_pose_410	6429.823
ligand_pose_411	1159.8236
ligand_pose_412	827870.6297
ligand_pose_413	333393.1186
ligand_pose_414	677031.4403
ligand_pose_415	389858.3237
ligand_pose_416	49083.3905
ligand_pose_417	283101.152
ligand_pose_418	37641740.3815
ligand_pose_419	4982.4758
ligand_pose_420	1864.3326
ligand_pose_421	896701966.8657
ligand_pose_422	14050856.6143
ligand_pose_423	7618.6023
ligand_pose_424	557913.3211
ligand_pose_425	57666241.6641
ligand_pose_426	61856660.3635
ligand_pose_427	683569.435
ligand_pose_428	1432428.2004
ligand_pose_429	16600.7325
ligand_pose_430	8718.3453
ligand_pose_431	8167.9322
ligand_pose_432	6881.8832
ligand_pose_433	22656.9174
ligand_pose_434	7361.3401
ligand_pose_435	69173310.8273
ligand_pose_436	69581.8053
ligand_pose_437	6643163.0456
ligand_pose_438	708902.325
ligand_pose_439	27241.7521
ligand_pose_440	801.181
ligand_pose_441	265.9755
ligand_pose_442	6146.9304
ligand_pose_443	143045.199
ligand_pose_444	8876472.6068
ligand_pose_445	3827.4473
ligand_pose_446	557.7027
ligand_pose_447	14618.8263
ligand_pose_448	13299.1812
ligand_pose_449	29503.9739
ligand_pose_450	5011.5143
ligand_pose_451	203262.0222
ligand_pose_452	7611.6185
ligand_pose_453	857.5388
ligand_pose_454	29307.9098
ligand_pose_455	2062672.4129
ligand_pose_456	146.3475
ligand_pose_457	323.4214
ligand_pose_458	33200.7151
ligand_pose_459	3877.115
ligand_pose_460	103267.3299
ligand_pose_461	339.6293
ligand_pose_462	43961878944.7631
ligand_pose_463	226344818794069.56
ligand_pose_464	22685.3401
ligand_pose_465	1587772.8567
ligand_pose_466	63627774.2371
ligand_pose_467	13556636.2476
ligand_pose_468	15938113.0432
ligand_pose_469	121048.7664
ligand_pose_470	11397.6289
ligand_pose_471	58437.9486
ligand_pose_472	72.2311
ligand_pose_473	45.908
ligand_pose_474	785355102.1913
ligand_pose_475	17742060.6764
ligand_pose_476	39530.725
ligand_pose_477	956795.8141
ligand_pose_478	10499669.588
ligand_pose_479	1603854.6545
ligand_pose_480	62174.5126
ligand_pose_481	192399.9763
ligand_pose_482	2921.1471
ligand_pose_483	3199734.7674
ligand_pose_484	333255.5663
ligand_pose_485	8471605.4542
ligand_pose_486	1560156931.595
ligand_pose_487	5443692.8386
ligand_pose_488	175612.6597
ligand_pose_489	4121640.1848
ligand_pose_490	4129746.8944
ligand_pose_491	277486.0834
ligand_pose_492	15377.2375
ligand_pose_493	-142.0107
ligand_pose_494	701.6202
ligand_pose_495	5075.4315
ligand_pose_496	6970.57
ligand_pose_497	22045.1447
ligand_pose_498	13181.8288
ligand_pose_499	97.9394
ligand_pose_500	-534.1902
ligand_pose_501	8001.9402
ligand_pose_502	-838.5058
ligand_pose_503	-892.7746
ligand_pose_504	-709.716
ligand_pose_505	3791.7389
ligand_pose_506	235761.9019
ligand_pose_507	22039258.1478
ligand_pose_508	114.4989
ligand_pose_509	-789.6874
ligand_pose_510	205179460.3935
ligand_pose_511	54762.8315
ligand_pose_512	1311851.9363
ligand_pose_513	8356.202
ligand_pose_514	221776.0438
ligand_pose_515	256997.291
ligand_pose_516	8409766.3831
